Rk,Player,BPM,G,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team
1,Joel Embiid,6.7,484,PHI,1,3,2014,Kansas,2016-17,2025-26,22-31,484,484,7,68.4,117,106,41.6,26.8,0.213,5.2,1.5,6.7,33.8,28,7.8,29.4,18.7,21,1.4,4.3,13.1,35.3,C,PHI
2,Shai Gilgeous-Alexander,6.2,511,CHA,1,11,2018,Kentucky,2018-19,2025-26,20-27,511,502,4,71.8,122,111,49.5,22.3,0.204,4.8,1.4,6.2,34.8,24.2,2.4,12.9,7.7,26.5,2.1,2.2,10.1,29.4,G,"LAC,OKC"
3,Anthony Davis,5.8,807,NOH,1,1,2012,Kentucky,2012-13,2025-26,19-32,807,800,10,120.3,118,105,73.8,46.5,0.208,4.3,1.5,5.8,54.9,26.7,8.6,25.5,17.1,12.7,1.9,5.6,9,28.3,F-C,"DAL,LAL,NOH,NOP"
4,Tyrese Haliburton,4.8,333,SAC,1,12,2020,Iowa State,2020-21,2024-25,20-24,333,294,2,37.6,126,117,30.1,7.5,0.164,4.9,-0.1,4.8,18.9,20.6,2.1,10.2,6.2,38.1,2.1,1.5,12.9,21.4,G,"IND,SAC"
5,Robert Williams,4.7,275,BOS,1,27,2018,Texas A&M,2018-19,2025-26,21-28,275,101,0,26.8,141,104,15.8,11,0.238,1.7,3,4.7,9.2,22,13.5,23.9,18.7,10,1.8,7.5,15,12.4,C-F,"BOS,POR"
6,Zion Williamson,4.7,257,NOH,1,1,2019,Duke,2019-20,2025-26,19-25,257,250,2,28.4,121,115,21.1,7.3,0.171,4.6,0.1,4.7,13.5,24.9,7.9,15,11.4,23.4,1.6,2,12.4,30,F-C,NOP
7,Damian Lillard,4.6,900,POR,1,6,2012,Weber State,2012-13,2024-25,22-34,900,900,9,118.4,119,113,98.2,20.2,0.174,5.5,-0.9,4.6,54.5,22.2,1.8,11,6.4,30.7,1.3,0.7,11.7,29,G,"MIL,POR"
8,Karl-Anthony Towns,4.2,700,MIN,1,1,2015,Kentucky,2015-16,2025-26,20-30,700,700,6,91.5,119,109,61.8,29.7,0.185,4,0.2,4.2,37.2,23.6,9.2,27.6,18.4,15.4,1.2,3,12.8,26.8,C-F,"MIN,NYK"
9,Jayson Tatum,3.8,585,BOS,1,3,2017,Duke,2017-18,2024-25,19-26,585,585,6,65.5,115,108,34.7,30.8,0.156,3.2,0.6,3.8,29.4,20.3,2.8,20.1,11.5,18.1,1.6,1.7,10.5,28.5,F,BOS
10,Donovan Mitchell,3.6,594,DEN,1,13,2017,Louisville,2017-18,2025-26,21-29,594,586,7,58.5,113,110,32.8,25.7,0.14,3.5,0.1,3.6,28.7,20.3,2.7,11.3,7.1,23.9,2,0.8,11.1,31.6,G,"CLE,UTA"
